,Item,UsePercentage,Pokemon
608,Assault Vest,19.927,Ludicolo
609,Absorb Bulb,6.428,Ludicolo
610,Expert Belt,5.201,Ludicolo
611,Never-Melt Ice,4.359,Ludicolo
612,Leftovers,2.827,Ludicolo
613,Choice Specs,2.319,Ludicolo
614,Other,3.983,Ludicolo
615,Wacan Berry,69.819,Slowking
616,Leftovers,13.671,Slowking
617,Safety Goggles,12.189,Slowking
618,Other,4.321,Slowking
619,Leftovers,85.746,Swampert
620,Life Orb,4.142,Swampert
621,White Herb,4.051,Swampert
622,Sitrus Berry,2.240,Swampert
623,Other,3.821,Swampert
624,Sitrus Berry,82.030,Azumarill
625,Assault Vest,8.581,Azumarill
626,White Herb,2.197,Azumarill
627,Starf Berry,2.013,Azumarill
628,Life Orb,1.681,Azumarill
629,Other,3.498,Azumarill
630,Choice Band,83.474,Scizor
631,Occa Berry,8.102,Scizor
632,Assault Vest,2.843,Scizor
633,Life Orb,2.738,Scizor
634,Other,2.843,Scizor
635,Leftovers,38.696,Galarian Articuno
636,Iron Ball,29.572,Galarian Articuno
637,Weakness Policy,9.456,Galarian Articuno
638,Sitrus Berry,4.784,Galarian Articuno
639,Focus Sash,2.974,Galarian Articuno
640,Assault Vest,2.971,Galarian Articuno
641,Adrenaline Orb,2.571,Galarian Articuno
642,Chesto Berry,2.563,Galarian Articuno
643,Life Orb,1.543,Galarian Articuno
644,Other,4.873,Galarian Articuno
645,Weakness Policy,53.223,Tyranitar
646,Assault Vest,12.471,Tyranitar
647,Focus Sash,11.692,Tyranitar
648,White Herb,8.204,Tyranitar
649,Chople Berry,4.069,Tyranitar
650,Salac Berry,3.373,Tyranitar
651,Life Orb,2.515,Tyranitar
652,Other,4.453,Tyranitar
653,Light Ball,99.945,Pikachu
654,Other,0.055,Pikachu
655,Focus Sash,40.959,Alolan Ninetales
656,Light Clay,31.186,Alolan Ninetales
657,Choice Scarf,14.938,Alolan Ninetales
658,Life Orb,9.312,Alolan Ninetales
659,Other,3.604,Alolan Ninetales
